dim1,dim2,label
103296,640,a
103552,640,a
147328,640,a
147584,640,a
103552,896,a
147072,896,a
147328,896,a
147584,896,a
146816,1152,a
147072,1152,a
146816,1408,a
147072,1408,a
24704,1664,a
146560,1664,a
146816,1664,a
146560,1920,a
146816,1920,a
146304,2176,a
146560,2176,a
62848,2432,f
146304,2432,a
62848,2688,f
65664,2688,f
65920,2688,f
146304,2688,a
62080,2944,f
62336,2944,f
64896,2944,f
115072,2944,a
146304,2944,a
62080,3200,f
64896,3200,f
115072,3200,a
19328,3968,f
19584,3968,f
19840,3968,f
20096,3968,f
18304,4224,f
18560,4224,f
19328,4224,f
19840,4224,f
20096,4224,f
20352,4224,f
20864,4224,f
155520,4224,a
21120,4480,f
62592,4480,f
155520,4480,a
17024,4736,f
18048,4736,f
18560,4736,f
19328,4736,f
62080,4736,f
118400,4736,a
18048,4992,f
21632,4992,f
62080,4992,f
62336,4992,f
62592,4992,f
16256,5248,f
16512,5248,f
16768,5248,f
17536,5248,f
17792,5248,f
20352,5248,f
21120,5248,f
21888,5248,f
62336,5248,f
62592,5248,f
62848,5248,f
15744,5504,f
16000,5504,f
16256,5504,f
16512,5504,f
17024,5504,f
21120,5504,f
21376,5504,f
63104,5504,f
16512,5760,f
21376,5760,f
62592,5760,f
63104,5760,f
16000,6016,f
16512,6016,f
17792,6016,f
18048,6016,f
21632,6016,f
21888,6016,f
39552,6016,e
62848,6016,f
63104,6016,f
63360,6016,f
15488,6272,f
15744,6272,f
16000,6272,f
16256,6272,f
17536,6272,f
17792,6272,f
21120,6272,f
21376,6272,f
21632,6272,f
21888,6272,f
39040,6272,e
39296,6272,e
39552,6272,e
39808,6272,e
63104,6272,f
63360,6272,f
15488,6528,f
15744,6528,f
18816,6528,f
20608,6528,f
20864,6528,f
21120,6528,f
21888,6528,f
39040,6528,e
39296,6528,e
39552,6528,e
39808,6528,e
63360,6528,f
15488,6784,f
15744,6784,f
16256,6784,f
16512,6784,f
17024,6784,f
17280,6784,f
18304,6784,f
18560,6784,f
20864,6784,f
21120,6784,f
21888,6784,f
39296,6784,e
39552,6784,e
39808,6784,e
40064,6784,e
63104,6784,f
63360,6784,f
15232,7040,f
15488,7040,f
15744,7040,f
16256,7040,f
17024,7040,f
17280,7040,f
18560,7040,f
18816,7040,f
19840,7040,f
20096,7040,f
20352,7040,f
20864,7040,f
21120,7040,f
21376,7040,f
39296,7040,e
39552,7040,e
39808,7040,e
40064,7040,e
40320,7040,e
56960,7040,f
57216,7040,f
63104,7040,f
15488,7296,f
15744,7296,f
16000,7296,f
17024,7296,f
17280,7296,f
18560,7296,f
18816,7296,f
19072,7296,f
19328,7296,f
19840,7296,f
20096,7296,f
20352,7296,f
20864,7296,f
21120,7296,f
21376,7296,f
21632,7296,f
39552,7296,e
39808,7296,e
40064,7296,e
40320,7296,e
63104,7296,f
15488,7552,f
15744,7552,f
16000,7552,f
16256,7552,f
17024,7552,f
18304,7552,f
18560,7552,f
18816,7552,f
19072,7552,f
19328,7552,f
19584,7552,f
20864,7552,f
21632,7552,f
39808,7552,e
40064,7552,e
40320,7552,e
41856,7552,e
42112,7552,e
44928,7552,e
45184,7552,e
45440,7552,e
45696,7552,e
45952,7552,e
46208,7552,e
63360,7552,f
16000,7808,f
16768,7808,f
18304,7808,f
18560,7808,f
19072,7808,f
19840,7808,f
20864,7808,f
21376,7808,f
21632,7808,f
24192,7808,e
24448,7808,e
40064,7808,e
41856,7808,e
42112,7808,e
42368,7808,e
44672,7808,e
44928,7808,e
45184,7808,e
45440,7808,e
45696,7808,e
45952,7808,e
46208,7808,e
46464,7808,e
4480,8064,f
11136,8064,f
11392,8064,f
11904,8064,a
16000,8064,f
16256,8064,f
17024,8064,f
18560,8064,f
18816,8064,f
20608,8064,f
20864,8064,f
21120,8064,f
21376,8064,f
21632,8064,f
21888,8064,f
24192,8064,e
24448,8064,e
24704,8064,e
24960,8064,e
42112,8064,e
42368,8064,e
44928,8064,e
45184,8064,e
45440,8064,e
45696,8064,e
45952,8064,e
46208,8064,e
46464,8064,e
4480,8320,f
11136,8320,f
11648,8320,f
16000,8320,f
16256,8320,f
18304,8320,f
18560,8320,f
18816,8320,f
20352,8320,f
20608,8320,f
20864,8320,f
21120,8320,f
24192,8320,e
24448,8320,e
24704,8320,e
24960,8320,e
42112,8320,e
42368,8320,e
45440,8320,e
45696,8320,e
45952,8320,e
46208,8320,e
63872,8320,f
16000,8576,f
16256,8576,f
16512,8576,f
18816,8576,f
20608,8576,f
20864,8576,f
21120,8576,f
21376,8576,f
24192,8576,e
24448,8576,e
24704,8576,e
24960,8576,e
25216,8576,e
42112,8576,e
42368,8576,e
49536,8576,f
49792,8576,f
10880,8832,f
16000,8832,f
17280,8832,f
17792,8832,f
18048,8832,f
18816,8832,f
21632,8832,f
24448,8832,e
24704,8832,e
24960,8832,e
25216,8832,e
25472,8832,e
25728,8832,e
42112,8832,e
42368,8832,e
49792,8832,f
50048,8832,f
131200,8832,a
4224,9088,f
16256,9088,f
16512,9088,f
17280,9088,f
17536,9088,f
17792,9088,f
18560,9088,f
18816,9088,f
24960,9088,e
25216,9088,e
25472,9088,e
25728,9088,e
25984,9088,e
39040,9088,e
42112,9088,e
42368,9088,e
46976,9088,f
64128,9088,f
4224,9344,f
16000,9344,f
16256,9344,f
18304,9344,f
18560,9344,f
18816,9344,f
24960,9344,e
25216,9344,e
25472,9344,e
25728,9344,e
25984,9344,e
26240,9344,e
38784,9344,e
39040,9344,e
39296,9344,e
46976,9344,f
47488,9344,f
47744,9344,f
64128,9344,f
105088,9344,a
3968,9600,f
18304,9600,f
18560,9600,f
21376,9600,f
24960,9600,e
25216,9600,e
25472,9600,e
25728,9600,e
25984,9600,e
26240,9600,e
47232,9600,f
47488,9600,f
47744,9600,f
4480,9856,f
16256,9856,f
17792,9856,f
18048,9856,f
18304,9856,f
18560,9856,f
21376,9856,f
21632,9856,f
21888,9856,f
24960,9856,e
25216,9856,e
25472,9856,e
25728,9856,e
25984,9856,e
26240,9856,e
26496,9856,e
64384,9856,f
84096,9856,f
84352,9856,f
3456,10112,f
4480,10112,f
6784,10112,f
16256,10112,f
16512,10112,f
16768,10112,f
18560,10112,f
18816,10112,f
19072,10112,f
20608,10112,f
20864,10112,f
21888,10112,f
22144,10112,f
25216,10112,e
25472,10112,e
25728,10112,e
25984,10112,e
26240,10112,e
43392,10112,e
43648,10112,e
43904,10112,e
44160,10112,e
50816,10112,e
52608,10112,e
52864,10112,e
53120,10112,e
60032,10112,e
60288,10112,e
64384,10112,f
83840,10112,a
84096,10112,f
3968,10368,f
4224,10368,f
7040,10368,f
15744,10368,f
16512,10368,f
16768,10368,f
17280,10368,f
19072,10368,f
19328,10368,f
19584,10368,f
19840,10368,f
20352,10368,f
20864,10368,f
21120,10368,f
22144,10368,f
22400,10368,f
29824,10368,f
43136,10368,e
43392,10368,e
43648,10368,e
43904,10368,e
44160,10368,e
44416,10368,e
44672,10368,e
44928,10368,e
45184,10368,e
45696,10368,e
45952,10368,e
52352,10368,e
52608,10368,e
52864,10368,e
53120,10368,e
53376,10368,e
64384,10368,f
64640,10368,f
64896,10368,f
66944,10368,f
84608,10368,f
84864,10368,f
4224,10624,f
4480,10624,f
16256,10624,f
16512,10624,f
16768,10624,f
20096,10624,f
20352,10624,f
20608,10624,f
22400,10624,f
29568,10624,f
29824,10624,f
38784,10624,e
39040,10624,e
42880,10624,e
43136,10624,e
43392,10624,e
43648,10624,e
43904,10624,e
44160,10624,e
44416,10624,e
44672,10624,e
44928,10624,e
45184,10624,e
45440,10624,e
45696,10624,e
45952,10624,e
46208,10624,e
52352,10624,e
52608,10624,e
52864,10624,e
53120,10624,e
53376,10624,e
53632,10624,e
53888,10624,e
64640,10624,f
64896,10624,f
65152,10624,f
67712,10624,f
84864,10624,f
3968,10880,f
4736,10880,f
13952,10880,f
16256,10880,f
16512,10880,f
20864,10880,f
22400,10880,f
22656,10880,f
29312,10880,f
29568,10880,f
29824,10880,f
38784,10880,e
39040,10880,e
39296,10880,e
42624,10880,e
42880,10880,e
43136,10880,e
43392,10880,e
43648,10880,e
43904,10880,e
44160,10880,e
44416,10880,e
44672,10880,e
44928,10880,e
45184,10880,e
45440,10880,e
45696,10880,e
45952,10880,e
46208,10880,e
52096,10880,e
52352,10880,e
52608,10880,e
52864,10880,e
53120,10880,e
53376,10880,e
53632,10880,e
53888,10880,e
2944,11136,f
3456,11136,f
3712,11136,f
3968,11136,f
4224,11136,f
4992,11136,f
7040,11136,f
16000,11136,f
16256,11136,f
22400,11136,f
22656,11136,f
22912,11136,f
38784,11136,e
39040,11136,e
39296,11136,e
42368,11136,e
42624,11136,e
42880,11136,e
43136,11136,e
43392,11136,e
43648,11136,e
43904,11136,e
44160,11136,e
44416,11136,e
44672,11136,e
44928,11136,e
45184,11136,e
45440,11136,e
45696,11136,e
45952,11136,e
