dim1,dim2,label
60800,2176,a
54144,2432,a
57216,2432,a
60288,2432,a
60544,2432,a
60800,2432,a
61056,2432,a
61312,2432,a
61568,2432,a
91008,2432,a
56448,2688,f
56704,2688,f
56960,2688,f
57216,2688,f
57472,2688,f
57728,2688,f
57984,2688,e
58240,2688,a
58496,2688,a
59008,2688,a
59264,2688,a
59520,2688,e
59776,2688,a
60288,2688,a
61056,2688,e
61312,2688,l
61568,2688,l
61824,2688,a
64640,2688,a
65408,2688,a
67200,2688,a
90752,2688,a
91008,2688,a
91264,2688,a
55680,2944,a
55936,2944,s
56960,2944,e
57216,2944,e
57472,2944,e
57728,2944,e
57984,2944,e
58240,2944,f
58496,2944,f
58752,2944,a
59008,2944,e
59264,2944,e
59520,2944,e
59776,2944,f
60032,2944,a
60288,2944,a
60544,2944,a
60800,2944,e
61056,2944,e
61312,2944,l
61568,2944,l
61824,2944,l
62080,2944,a
62336,2944,a
62848,2944,f
63360,2944,f
63872,2944,f
64384,2944,f
64640,2944,f
64896,2944,f
65152,2944,f
91008,2944,a
55168,3200,a
55680,3200,s
55936,3200,s
56192,3200,e
56448,3200,e
56704,3200,e
56960,3200,e
57216,3200,e
57472,3200,e
57728,3200,e
57984,3200,e
58240,3200,f
58496,3200,f
58752,3200,e
59008,3200,e
59264,3200,e
59520,3200,e
59776,3200,e
60032,3200,e
60288,3200,a
60544,3200,a
60800,3200,e
61056,3200,e
61312,3200,e
61568,3200,e
61824,3200,e
62080,3200,e
62336,3200,f
63104,3200,f
63360,3200,f
63616,3200,f
63872,3200,f
55424,3456,e
55680,3456,e
55936,3456,e
56192,3456,e
56448,3456,e
56704,3456,e
56960,3456,e
57216,3456,e
57472,3456,e
57728,3456,e
57984,3456,e
58240,3456,e
58496,3456,e
58752,3456,e
59008,3456,e
59264,3456,e
59520,3456,e
59776,3456,e
60032,3456,e
60288,3456,e
60544,3456,a
60800,3456,e
61056,3456,e
61312,3456,e
61568,3456,e
61824,3456,e
62080,3456,e
62336,3456,e
62592,3456,f
63104,3456,f
63360,3456,f
68224,3456,f
68480,3456,f
68736,3456,f
68992,3456,f
69248,3456,f
69504,3456,f
53376,3712,e
53632,3712,a
55424,3712,e
55680,3712,e
55936,3712,e
56192,3712,e
56448,3712,e
56704,3712,e
56960,3712,e
57216,3712,e
57472,3712,e
57728,3712,e
57984,3712,e
58240,3712,e
58496,3712,e
58752,3712,e
59008,3712,e
59264,3712,e
59520,3712,e
59776,3712,e
60032,3712,e
60288,3712,e
60544,3712,e
60800,3712,e
61056,3712,e
61312,3712,e
61568,3712,e
61824,3712,e
62080,3712,e
62336,3712,e
62592,3712,e
63360,3712,f
68224,3712,f
68480,3712,f
52864,3968,e
53120,3968,e
53376,3968,e
53632,3968,e
53888,3968,a
55168,3968,a
55424,3968,e
55680,3968,e
55936,3968,e
56192,3968,e
56448,3968,e
56704,3968,e
56960,3968,e
57216,3968,e
57472,3968,e
57728,3968,e
57984,3968,e
58240,3968,e
58496,3968,e
58752,3968,e
